,Name,OffRating,DefRating,Backstab rating,Back defense rating,Electronics Control,Accuracy,NetRating,Risk,Greediness,Altitude Control,Opponent proximity,top,noob,TIPS,NIVELL
0,Angel_Hahn,0.9512254026510382,0.7839315255785468,0.8878444086721438,0.8801055332414556,0.9999481048441295,0.8439597139816083,0.8939049220790055,0.8424137787355297,0.15588046109470022,-0.09630114764595678,0.9187738077950608,"['Backstab rating', 'OffRating', 'Electronics Control']",['DefRating'],"['Beware of the risk you take! You are REALLY risky.', 'You like company...']",Pro
1,Christopher_Cox,0.9504166592637004,0.7546215119739638,0.6537948197875892,0.9384985699939502,0.9075698318092792,0.6627361568028268,0.8209623314486607,0.2438901006229768,-0.2437631348041149,0.8387843785620541,0.8392539841428532,"['Electronics Control', 'Back defense rating', 'OffRating']","['Accuracy', 'Backstab rating']","['You really like having a good perspective of the situation.', 'You like company...']",Pro
2,Stacy_Butler,0.7142673943285541,0.5160950785506837,0.6201172911437031,0.7267621494686071,0.6312411393233549,0.7717905055722585,0.668753402215209,0.291917203839704,0.17931181963970175,0.6449567178050449,-0.2535873133059591,['Accuracy'],"['Electronics Control', 'Backstab rating', 'DefRating']",[],Intermediate
3,Hector_Higgins,0.7031627069434668,0.7886718174363179,0.6343078892184625,0.7919437238532223,0.7526326500212027,0.6098466376186226,0.7169764309727271,0.693876409669963,-0.35088105649237633,-0.08702201528928644,0.3739689840147231,['Back defense rating'],"['OffRating', 'Backstab rating', 'Accuracy']",['You take risks. Consider them'],Intermediate
4,Pro,0.5466355058251527,0.6084597855618872,0.6500165685495581,0.5514716837220417,0.4198517593582263,0.8579760321397213,0.6202250419234031,-0.301502988197905,0.476040000304572,0.1359319197643971,-0.4125093340126351,['Accuracy'],"['Back defense rating', 'OffRating', 'Electronics Control']",[],Intermediate
5,Sherry_Wong,0.3490212046334473,0.6131248088872141,0.6350562432213271,0.529572444450084,0.3043526029408668,0.3300795168512137,0.4801153043616362,0.22169165240418431,-0.2094500004210602,-0.015507539609993069,-0.2967298813469069,['Backstab rating'],"['OffRating', 'Accuracy', 'Electronics Control']",[],Beginner
6,Samantha_Martinez,0.11633278786309233,0.7050869146460634,0.9636381251437564,0.7846611990180702,0.3433256144117704,0.1033450168497352,0.6032585374766839,-0.2850513340663737,-0.3776719824398845,-0.3320494629375488,0.3156228476909759,['Backstab rating'],"['Electronics Control', 'OffRating', 'Accuracy']",[],Intermediate
7,Misty_Jones,0.4741078083224984,0.5552395841733893,0.9379981256787194,0.4789639987862837,0.95124903065037,0.6491955608801426,0.7034019477078629,-0.14757704128743332,-0.5748010302326962,0.25736952543685443,0.013419252832369666,"['Backstab rating', 'Electronics Control']","['DefRating', 'Back defense rating', 'OffRating']",[],Intermediate
8,Michael_Lewis,0.1,0.6474453311738332,0.1,0.5021296036054995,0.1,0.3548425158692854,0.3713113713009282,-0.33705934200069704,-0.2155884373017909,-0.7729505462128577,-0.4606373586025541,['DefRating'],"['OffRating', 'Electronics Control', 'Backstab rating']",['Everyone sees you from upside.'],Beginner
9,Yvonne_Haas,0.21313049955268693,0.5467472919195697,0.1,0.25077086563782913,0.1,0.3394282761707583,0.30068111368966954,-0.970117441521308,-0.9639071457159696,-0.2663410108117893,0.023224564068871745,['DefRating'],"['OffRating', 'Electronics Control', 'Backstab rating']","['People must hate playing against you. Why not taking a little bit more risks next time?', 'You know how to administrate your resources.', 'You like getting to the valley, beware of the people higher than you!']",Beginner
