Name,OffRating,DefRating,Backstab rating,Back defense rating,Electronics Control,Accuracy,NetRating,Risk,Greediness,Altitude Control,Opponent proximity
Angel_Hahn,0.9512254026510382,0.7839315255785468,0.8878444086721438,0.8801055332414556,0.9999481048441297,0.8439597139816083,0.8939049220790055,0.8424137787355297,0.15588046109470022,-0.09630114764595678,0.9187738077950609
Christopher_Cox,0.9504166592637004,0.7546215119739638,0.6537948197875892,0.9384985699939502,0.9075698318092793,0.6627361568028268,0.8209623314486607,0.24389010062297678,-0.24376313480411493,0.8387843785620541,0.8392539841428532
Stacy_Butler,0.714267394328554,0.5160950785506837,0.620117291143703,0.7267621494686071,0.631241139323355,0.7717905055722585,0.668753402215209,0.291917203839704,0.17931181963970177,0.6449567178050449,-0.2535873133059591
Hector_Higgins,0.7031627069434668,0.7886718174363179,0.6343078892184625,0.7919437238532223,0.7526326500212027,0.6098466376186226,0.716976430972727,0.693876409669963,-0.35088105649237633,-0.08702201528928644,0.3739689840147231
Pro,0.5466355058251527,0.6084597855618872,0.6500165685495581,0.5514716837220417,0.4198517593582263,0.8579760321397213,0.6202250419234031,-0.301502988197905,0.47604000030457194,0.1359319197643971,-0.4125093340126351
Sherry_Wong,0.3490212046334473,0.6131248088872141,0.6350562432213271,0.529572444450084,0.3043526029408668,0.33007951685121373,0.48011530436163624,0.22169165240418431,-0.2094500004210602,-0.01550753960999307,-0.29672988134690687
Samantha_Martinez,0.11633278786309231,0.7050869146460634,0.9636381251437564,0.7846611990180702,0.3433256144117704,0.10334501684973521,0.6032585374766839,-0.28505133406637373,-0.37767198243988453,-0.3320494629375488,0.3156228476909759
Misty_Jones,0.47410780832249844,0.5552395841733893,0.9379981256787194,0.4789639987862837,0.9512490306503701,0.6491955608801426,0.7034019477078629,-0.14757704128743332,-0.5748010302326962,0.25736952543685443,0.013419252832369666
Michael_Lewis,0.1,0.6474453311738332,0.1,0.5021296036054995,0.1,0.3548425158692854,0.37131137130092823,-0.337059342000697,-0.2155884373017909,-0.7729505462128577,-0.46063735860255406
Yvonne_Haas,0.21313049955268693,0.5467472919195697,0.1,0.25077086563782913,0.1,0.3394282761707583,0.30068111368966954,-0.9701174415213079,-0.9639071457159696,-0.2663410108117893,0.023224564068871745
